objectid,sheet_no,scan_exist,scan_avail,scanned_ma,geometry
1.0,H-36-107,Yes,,http://maps.vlasenko.net/smtm100/h-36-107.jpg,"POLYGON ((3896195.7665696 3375661.57174399, 3896195.7665696 3418138.09726169, 3951855.51196624 3418138.09726169, 3951855.51196624 3375661.57174399, 3896195.7665696 3375661.57174399))"
2.0,H-36-108,Yes,,http://maps.vlasenko.net/smtm100/h-36-108.jpg,"POLYGON ((3951855.51196624 3375661.57174399, 3951855.51196624 3418138.09726169, 4007515.25736288 3418138.09726169, 4007515.25736288 3375661.57174399, 3951855.51196624 3375661.57174399))"
3.0,H-37-97,Yes,,http://maps.vlasenko.net/smtm100/h-37-097.jpg,"POLYGON ((4007515.25736288 3375661.57174399, 4007515.25736288 3418138.09726169, 4063175.00275951 3418138.09726169, 4063175.00275951 3375661.57174399, 4007515.25736288 3375661.57174399))"
4.0,H-36-94,Yes,,http://maps.vlasenko.net/smtm100/h-36-094.jpg,"POLYGON ((3840536.02117297 3418138.09726169, 3840536.02117297 3460777.11550363, 3896195.7665696 3460777.11550363, 3896195.7665696 3418138.09726169, 3840536.02117297 3418138.09726169))"
5.0,H-36-95,Yes,,http://maps.vlasenko.net/smtm100/h-36-095.jpg,"POLYGON ((3896195.7665696 3418138.09726169, 3896195.7665696 3460777.11550363, 3951855.51196624 3460777.11550363, 3951855.51196624 3418138.09726169, 3896195.7665696 3418138.09726169))"
6.0,H-36-96,Yes,,http://maps.vlasenko.net/smtm100/h-36-096.jpg,"POLYGON ((3951855.51196624 3418138.09726169, 3951855.51196624 3460777.11550363, 4007515.25736288 3460777.11550363, 4007515.25736288 3418138.09726169, 3951855.51196624 3418138.09726169))"
7.0,H-37-85,Yes,,http://maps.vlasenko.net/smtm100/h-37-085.jpg,"POLYGON ((4007515.25736288 3418138.09726169, 4007515.25736288 3460777.11550363, 4063175.00275951 3460777.11550363, 4063175.00275951 3418138.09726169, 4007515.25736288 3418138.09726169))"
8.0,H-37-86,Yes,,http://maps.vlasenko.net/smtm100/h-37-086.jpg,"POLYGON ((4063175.00275951 3418138.09726169, 4063175.00275951 3460777.11550363, 4118834.74815615 3460777.11550363, 4118834.74815615 3418138.09726169, 4063175.00275951 3418138.09726169))"
9.0,H-36-83,Yes,,http://maps.vlasenko.net/smtm100/h-36-083.jpg,"POLYGON ((3896195.7665696 3460777.11550363, 3896195.7665696 3503565.53451451, 3951855.51196624 3503565.53451451, 3951855.51196624 3460777.11550363, 3896195.7665696 3460777.11550363))"
10.0,H-36-84,Yes,,http://maps.vlasenko.net/smtm100/h-36-084.jpg,"POLYGON ((3951855.51196624 3460777.11550363, 3951855.51196624 3503565.53451451, 4007515.25736288 3503565.53451451, 4007515.25736288 3460777.11550363, 3951855.51196624 3460777.11550363))"
11.0,H-37-73,Yes,,http://maps.vlasenko.net/smtm100/h-37-073.jpg,"POLYGON ((4007515.25736288 3460777.11550363, 4007515.25736288 3503565.53451451, 4063175.00275951 3503565.53451451, 4063175.00275951 3460777.11550363, 4007515.25736288 3460777.11550363))"
12.0,H-37-74,Yes,,http://maps.vlasenko.net/smtm100/h-37-074.jpg,"POLYGON ((4063175.00275951 3460777.11550363, 4063175.00275951 3503565.53451451, 4118834.74815615 3503565.53451451, 4118834.74815615 3460777.11550363, 4063175.00275951 3460777.11550363))"
13.0,H-37-75,Yes,,http://maps.vlasenko.net/smtm100/h-37-075.jpg,"POLYGON ((4118834.74815615 3460777.11550363, 4118834.74815615 3503565.53451451, 4174494.49355279 3503565.53451451, 4174494.49355279 3460777.11550363, 4118834.74815615 3460777.11550363))"
14.0,H-37-76,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4174494.49355279 3460777.11550363, 4174494.49355279 3503565.53451451, 4230154.23894942 3503565.53451451, 4230154.23894942 3460777.11550363, 4174494.49355279 3460777.11550363))"
15.0,H-36-71,Yes,,http://maps.vlasenko.net/smtm100/h-36-071.jpg,"POLYGON ((3896195.7665696 3503565.53451451, 3896195.7665696 3546466.47467736, 3951855.51196624 3546466.47467736, 3951855.51196624 3503565.53451451, 3896195.7665696 3503565.53451451))"
16.0,H-36-72,Yes,,http://maps.vlasenko.net/smtm100/h-36-072.jpg,"POLYGON ((3951855.51196624 3503565.53451451, 3951855.51196624 3546466.47467736, 4007515.25736288 3546466.47467736, 4007515.25736288 3503565.53451451, 3951855.51196624 3503565.53451451))"
17.0,H-37-61,Yes,,http://maps.vlasenko.net/smtm100/h-37-061.jpg,"POLYGON ((4007515.25736288 3503565.53451451, 4007515.25736288 3546466.47467736, 4063175.00275951 3546466.47467736, 4063175.00275951 3503565.53451451, 4007515.25736288 3503565.53451451))"
18.0,H-37-62,Yes,,http://maps.vlasenko.net/smtm100/h-37-062.jpg,"POLYGON ((4063175.00275951 3503565.53451451, 4063175.00275951 3546466.47467736, 4118834.74815615 3546466.47467736, 4118834.74815615 3503565.53451451, 4063175.00275951 3503565.53451451))"
19.0,H-37-63,Yes,,http://maps.vlasenko.net/smtm100/h-37-063.jpg,"POLYGON ((4118834.74815615 3503565.53451451, 4118834.74815615 3546466.47467736, 4174494.49355279 3546466.47467736, 4174494.49355279 3503565.53451451, 4118834.74815615 3503565.53451451))"
20.0,H-37-64,Yes,,http://maps.vlasenko.net/smtm100/h-37-064.jpg,"POLYGON ((4174494.49355279 3503565.53451451, 4174494.49355279 3546466.47467736, 4230154.23894942 3546466.47467736, 4230154.23894942 3503565.53451451, 4174494.49355279 3503565.53451451))"
21.0,H-36-59,Yes,,http://maps.vlasenko.net/smtm100/h-36-059.jpg,"POLYGON ((3896195.7665696 3546466.47467736, 3896195.7665696 3589537.34195273, 3951855.51196624 3589537.34195273, 3951855.51196624 3546466.47467736, 3896195.7665696 3546466.47467736))"
22.0,H-36-60,Yes,,http://maps.vlasenko.net/smtm100/h-36-060.jpg,"POLYGON ((3951855.51196624 3546466.47467736, 3951855.51196624 3589537.34195273, 4007515.25736288 3589537.34195273, 4007515.25736288 3546466.47467736, 3951855.51196624 3546466.47467736))"
23.0,H-37-49,Yes,,http://maps.vlasenko.net/smtm100/h-37-049.jpg,"POLYGON ((4007515.25736288 3546466.47467736, 4007515.25736288 3589537.34195273, 4063175.00275951 3589537.34195273, 4063175.00275951 3546466.47467736, 4007515.25736288 3546466.47467736))"
24.0,H-37-50,Yes,,http://maps.vlasenko.net/smtm100/h-37-050.jpg,"POLYGON ((4063175.00275951 3546466.47467736, 4063175.00275951 3589537.34195273, 4118834.74815615 3589537.34195273, 4118834.74815615 3546466.47467736, 4063175.00275951 3546466.47467736))"
25.0,H-37-51,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4118834.74815615 3546466.47467736, 4118834.74815615 3589537.34195273, 4174494.49355279 3589537.34195273, 4174494.49355279 3546466.47467736, 4118834.74815615 3546466.47467736))"
26.0,H-37-52,Yes,,http://maps.vlasenko.net/smtm100/h-37-052.jpg,"POLYGON ((4174494.49355279 3546466.47467736, 4174494.49355279 3589537.34195273, 4230154.23894942 3589537.34195273, 4230154.23894942 3546466.47467736, 4174494.49355279 3546466.47467736))"
27.0,H-37-53,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4230154.23894942 3546466.47467736, 4230154.23894942 3589537.34195273, 4285813.98434606 3589537.34195273, 4285813.98434606 3546466.47467736, 4230154.23894942 3546466.47467736))"
28.0,H-36-47,Yes,,http://maps.vlasenko.net/smtm100/h-36-047.jpg,"POLYGON ((3896195.7665696 3589537.34195273, 3896195.7665696 3632764.99654835, 3951855.51196624 3632764.99654835, 3951855.51196624 3589537.34195273, 3896195.7665696 3589537.34195273))"
29.0,H-36-48,Yes,,http://maps.vlasenko.net/smtm100/h-36-048.jpg,"POLYGON ((3951855.51196624 3589537.34195273, 3951855.51196624 3632764.99654835, 4007515.25736288 3632764.99654835, 4007515.25736288 3589537.34195273, 3951855.51196624 3589537.34195273))"
30.0,H-37-37,Yes,,http://maps.vlasenko.net/smtm100/h-37-037.jpg,"POLYGON ((4007515.25736288 3589537.34195273, 4007515.25736288 3632764.99654835, 4063175.00275951 3632764.99654835, 4063175.00275951 3589537.34195273, 4007515.25736288 3589537.34195273))"
31.0,H-37-38,Yes,,http://maps.vlasenko.net/smtm100/h-37-038.jpg,"POLYGON ((4063175.00275951 3589537.34195273, 4063175.00275951 3632764.99654835, 4118834.74815615 3632764.99654835, 4118834.74815615 3589537.34195273, 4063175.00275951 3589537.34195273))"
32.0,H-37-39,Yes,,http://maps.vlasenko.net/smtm100/h-37-039.jpg,"POLYGON ((4118834.74815615 3589537.34195273, 4118834.74815615 3632764.99654835, 4174494.49355279 3632764.99654835, 4174494.49355279 3589537.34195273, 4118834.74815615 3589537.34195273))"
33.0,H-37-40,Yes,,http://maps.vlasenko.net/smtm100/h-37-040.jpg,"POLYGON ((4174494.49355279 3589537.34195273, 4174494.49355279 3632764.99654835, 4230154.23894942 3632764.99654835, 4230154.23894942 3589537.34195273, 4174494.49355279 3589537.34195273))"
34.0,H-36-35,Yes,,http://maps.vlasenko.net/smtm100/h-36-035.jpg,"POLYGON ((3896195.7665696 3632764.99654835, 3896195.7665696 3676112.25563306, 3951855.51196624 3676112.25563306, 3951855.51196624 3632764.99654835, 3896195.7665696 3632764.99654835))"
35.0,H-36-36,Yes,,http://maps.vlasenko.net/smtm100/h-36-036.jpg,"POLYGON ((3951855.51196624 3632764.99654835, 3951855.51196624 3676112.25563306, 4007515.25736288 3676112.25563306, 4007515.25736288 3632764.99654835, 3951855.51196624 3632764.99654835))"
36.0,H-37-25,Yes,,http://maps.vlasenko.net/smtm100/h-37-025.jpg,"POLYGON ((4007515.25736288 3632764.99654835, 4007515.25736288 3676112.25563306, 4063175.00275951 3676112.25563306, 4063175.00275951 3632764.99654835, 4007515.25736288 3632764.99654835))"
37.0,H-37-26,Yes,,http://maps.vlasenko.net/smtm100/h-37-026.jpg,"POLYGON ((4063175.00275951 3632764.99654835, 4063175.00275951 3676112.25563306, 4118834.74815615 3676112.25563306, 4118834.74815615 3632764.99654835, 4063175.00275951 3632764.99654835))"
38.0,H-37-27,Yes,,http://maps.vlasenko.net/smtm100/h-37-027.jpg,"POLYGON ((4118834.74815615 3632764.99654835, 4118834.74815615 3676112.25563306, 4174494.49355279 3676112.25563306, 4174494.49355279 3632764.99654835, 4118834.74815615 3632764.99654835))"
39.0,H-37-28,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4174494.49355279 3632764.99654835, 4174494.49355279 3676112.25563306, 4230154.23894942 3676112.25563306, 4230154.23894942 3632764.99654835, 4174494.49355279 3632764.99654835))"
40.0,H-36-22,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((3840536.02117297 3676112.25563306, 3840536.02117297 3719637.20290941, 3896195.7665696 3719637.20290941, 3896195.7665696 3676112.25563306, 3840536.02117297 3676112.25563306))"
41.0,H-36-23,Yes,,http://maps.vlasenko.net/smtm100/h-36-023.jpg,"POLYGON ((3896195.7665696 3676112.25563306, 3896195.7665696 3719637.20290941, 3951855.51196624 3719637.20290941, 3951855.51196624 3676112.25563306, 3896195.7665696 3676112.25563306))"
42.0,H-36-24,Yes,,http://maps.vlasenko.net/smtm100/h-36-024.jpg,"POLYGON ((3951855.51196624 3676112.25563306, 3951855.51196624 3719637.20290941, 4007515.25736288 3719637.20290941, 4007515.25736288 3676112.25563306, 3951855.51196624 3676112.25563306))"
43.0,H-37-13,Yes,,http://maps.vlasenko.net/smtm100/h-37-013.jpg,"POLYGON ((4007515.25736288 3676112.25563306, 4007515.25736288 3719637.20290941, 4063175.00275951 3719637.20290941, 4063175.00275951 3676112.25563306, 4007515.25736288 3676112.25563306))"
44.0,H-37-14,Yes,,http://maps.vlasenko.net/smtm100/h-37-014.jpg,"POLYGON ((4063175.00275951 3676112.25563306, 4063175.00275951 3719637.20290941, 4118834.74815615 3719637.20290941, 4118834.74815615 3676112.25563306, 4063175.00275951 3676112.25563306))"
45.0,H-37-15,Yes,,http://maps.vlasenko.net/smtm100/h-37-015.jpg,"POLYGON ((4118834.74815615 3676112.25563306, 4118834.74815615 3719637.20290941, 4174494.49355279 3719637.20290941, 4174494.49355279 3676112.25563306, 4118834.74815615 3676112.25563306))"
46.0,H-37-16,Yes,,http://maps.vlasenko.net/smtm100/h-37-016.jpg,"POLYGON ((4174494.49355279 3676112.25563306, 4174494.49355279 3719637.20290941, 4230154.23894942 3719637.20290941, 4230154.23894942 3676112.25563306, 4174494.49355279 3676112.25563306))"
47.0,H-36-10,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((3840536.02117297 3719637.20290941, 3840536.02117297 3763326.65078074, 3896195.7665696 3763326.65078074, 3896195.7665696 3719637.20290941, 3840536.02117297 3719637.20290941))"
48.0,H-36-11,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((3896195.7665696 3719637.20290941, 3896195.7665696 3763326.65078074, 3951855.51196624 3763326.65078074, 3951855.51196624 3719637.20290941, 3896195.7665696 3719637.20290941))"
49.0,H-36-12,Yes,,http://maps.vlasenko.net/smtm100/h-36-012.jpg,"POLYGON ((3951855.51196624 3719637.20290941, 3951855.51196624 3763326.65078074, 4007515.25736288 3763326.65078074, 4007515.25736288 3719637.20290941, 3951855.51196624 3719637.20290941))"
50.0,H-37-1,Yes,,http://maps.vlasenko.net/smtm100/h-37-001.jpg,"POLYGON ((4007515.25736288 3719637.20290941, 4007515.25736288 3763326.65078074, 4063175.00275951 3763326.65078074, 4063175.00275951 3719637.20290941, 4007515.25736288 3719637.20290941))"
51.0,H-37-2,Yes,,http://maps.vlasenko.net/smtm100/h-37-002.jpg,"POLYGON ((4063175.00275951 3719637.20290941, 4063175.00275951 3763326.65078074, 4118834.74815615 3763326.65078074, 4118834.74815615 3719637.20290941, 4063175.00275951 3719637.20290941))"
52.0,H-37-3,Yes,,http://maps.vlasenko.net/smtm100/h-37-003.jpg,"POLYGON ((4118834.74815615 3719637.20290941, 4118834.74815615 3763326.65078074, 4174494.49355279 3763326.65078074, 4174494.49355279 3719637.20290941, 4118834.74815615 3719637.20290941))"
53.0,H-37-4,Yes,,http://maps.vlasenko.net/smtm100/h-37-004.jpg,"POLYGON ((4174494.49355279 3719637.20290941, 4174494.49355279 3763326.65078074, 4230154.23894942 3763326.65078074, 4230154.23894942 3719637.20290941, 4174494.49355279 3719637.20290941))"
54.0,H-37-5,Yes,,http://maps.vlasenko.net/smtm100/h-37-005.jpg,"POLYGON ((4230154.23894942 3719637.20290941, 4230154.23894942 3763326.65078074, 4285813.98434606 3763326.65078074, 4285813.98434606 3719637.20290941, 4230154.23894942 3719637.20290941))"
55.0,H-37-6,Yes,,http://maps.vlasenko.net/smtm100/h-37-006.jpg,"POLYGON ((4285813.98434606 3719637.20290941, 4285813.98434606 3763326.65078074, 4341473.7297427 3763326.65078074, 4341473.7297427 3719637.20290941, 4285813.98434606 3719637.20290941))"
56.0,H-37-7,no,"<br><br><font size=""+2""><b>NO</b></font> scan available",,"POLYGON ((4341473.7297427 3719637.20290941, 4341473.7297427 3763326.65078074, 4397133.47513933 3763326.65078074, 4397133.47513933 3719637.20290941, 4341473.7297427 3719637.20290941))"
57.0,I-36-142,Yes,,http://maps.vlasenko.net/smtm100/i-36-142.jpg,"POLYGON ((3840536.02117297 3763326.65078074, 3840536.02117297 3807143.10032295, 3896195.7665696 3807143.10032295, 3896195.7665696 3763326.65078074, 3840536.02117297 3763326.65078074))"
58.0,I-36-143,Yes,,http://maps.vlasenko.net/smtm100/i-36-143.jpg,"POLYGON ((3896195.7665696 3763326.65078074, 3896195.7665696 3807143.10032295, 3951855.51196624 3807143.10032295, 3951855.51196624 3763326.65078074, 3896195.7665696 3763326.65078074))"
59.0,I-36-144,Yes,,http://maps.vlasenko.net/smtm100/i-36-144.jpg,"POLYGON ((3951855.51196624 3763326.65078074, 3951855.51196624 3807143.10032295, 4007515.25736288 3807143.10032295, 4007515.25736288 3763326.65078074, 3951855.51196624 3763326.65078074))"
60.0,I-37-133,Yes,,http://maps.vlasenko.net/smtm100/i-37-133.jpg,"POLYGON ((4007515.25736288 3763326.65078074, 4007515.25736288 3807143.10032295, 4063175.00275951 3807143.10032295, 4063175.00275951 3763326.65078074, 4007515.25736288 3763326.65078074))"
61.0,I-37-134,Yes,,http://maps.vlasenko.net/smtm100/i-37-134.jpg,"POLYGON ((4063175.00275951 3763326.65078074, 4063175.00275951 3807143.10032295, 4118834.74815615 3807143.10032295, 4118834.74815615 3763326.65078074, 4063175.00275951 3763326.65078074))"
62.0,I-37-135,Yes,,http://maps.vlasenko.net/smtm100/i-37-135.jpg,"POLYGON ((4118834.74815615 3763326.65078074, 4118834.74815615 3807143.10032295, 4174494.49355279 3807143.10032295, 4174494.49355279 3763326.65078074, 4118834.74815615 3763326.65078074))"
63.0,I-37-136,Yes,,http://maps.vlasenko.net/smtm100/i-37-136.jpg,"POLYGON ((4174494.49355279 3763326.65078074, 4174494.49355279 3807143.10032295, 4230154.23894942 3807143.10032295, 4230154.23894942 3763326.65078074, 4174494.49355279 3763326.65078074))"
64.0,I-37-137,Yes,,http://maps.vlasenko.net/smtm100/i-37-137.jpg,"POLYGON ((4230154.23894942 3763326.65078074, 4230154.23894942 3807143.10032295, 4285813.98434606 3807143.10032295, 4285813.98434606 3763326.65078074, 4230154.23894942 3763326.65078074))"
65.0,I-37-138,Yes,,http://maps.vlasenko.net/smtm100/i-37-138.jpg,"POLYGON ((4285813.98434606 3763326.65078074, 4285813.98434606 3807143.10032295, 4341473.7297427 3807143.10032295, 4341473.7297427 3763326.65078074, 4285813.98434606 3763326.65078074))"
66.0,I-37-139,Yes,,http://maps.vlasenko.net/smtm100/i-37-139.jpg,"POLYGON ((4341473.7297427 3763326.65078074, 4341473.7297427 3807143.10032295, 4397133.47513933 3807143.10032295, 4397133.47513933 3763326.65078074, 4341473.7297427 3763326.65078074))"
67.0,I-36-131,Yes,,http://maps.vlasenko.net/smtm100/i-36-131.jpg,"POLYGON ((3896195.7665696 3807143.10032295, 3896195.7665696 3851145.35047545, 3951855.51196624 3851145.35047545, 3951855.51196624 3807143.10032295, 3896195.7665696 3807143.10032295))"
68.0,I-36-132,Yes,,http://maps.vlasenko.net/smtm100/i-36-132.jpg,"POLYGON ((3951855.51196624 3807143.10032295, 3951855.51196624 3851145.35047545, 4007515.25736288 3851145.35047545, 4007515.25736288 3807143.10032295, 3951855.51196624 3807143.10032295))"
69.0,I-37-121,Yes,,http://maps.vlasenko.net/smtm100/i-37-121.jpg,"POLYGON ((4007515.25736288 3807143.10032295, 4007515.25736288 3851145.35047545, 4063175.00275951 3851145.35047545, 4063175.00275951 3807143.10032295, 4007515.25736288 3807143.10032295))"
70.0,I-37-122,Yes,,http://maps.vlasenko.net/smtm100/i-37-122.jpg,"POLYGON ((4063175.00275951 3807143.10032295, 4063175.00275951 3851145.35047545, 4118834.74815615 3851145.35047545, 4118834.74815615 3807143.10032295, 4063175.00275951 3807143.10032295))"
71.0,I-37-123,Yes,,http://maps.vlasenko.net/smtm100/i-37-123.jpg,"POLYGON ((4118834.74815615 3807143.10032295, 4118834.74815615 3851145.35047545, 4174494.49355279 3851145.35047545, 4174494.49355279 3807143.10032295, 4118834.74815615 3807143.10032295))"
72.0,I-37-124,Yes,,http://maps.vlasenko.net/smtm100/i-37-124.jpg,"POLYGON ((4174494.49355279 3807143.10032295, 4174494.49355279 3851145.35047545, 4230154.23894942 3851145.35047545, 4230154.23894942 3807143.10032295, 4174494.49355279 3807143.10032295))"
73.0,I-37-125,Yes,,http://maps.vlasenko.net/smtm100/i-37-125.jpg,"POLYGON ((4230154.23894942 3807143.10032295, 4230154.23894942 3851145.35047545, 4285813.98434606 3851145.35047545, 4285813.98434606 3807143.10032295, 4230154.23894942 3807143.10032295))"
74.0,I-37-126,Yes,,http://maps.vlasenko.net/smtm100/i-37-126.jpg,"POLYGON ((4285813.98434606 3807143.10032295, 4285813.98434606 3851145.35047545, 4341473.7297427 3851145.35047545, 4341473.7297427 3807143.10032295, 4285813.98434606 3807143.10032295))"
75.0,I-37-127,Yes,,http://maps.vlasenko.net/smtm100/i-37-127.jpg,"POLYGON ((4341473.7297427 3807143.10032295, 4341473.7297427 3851145.35047545, 4397133.47513933 3851145.35047545, 4397133.47513933 3807143.10032295, 4341473.7297427 3807143.10032295))"
76.0,I-36-120,Yes,,http://maps.vlasenko.net/smtm100/i-36-120.jpg,"POLYGON ((3951855.51196624 3851145.35047545, 3951855.51196624 3895320.16619741, 4007515.25736288 3895320.16619741, 4007515.25736288 3851145.35047545, 3951855.51196624 3851145.35047545))"
77.0,I-37-111,Yes,,http://maps.vlasenko.net/smtm100/i-37-111.jpg,"POLYGON ((4118834.74815615 3851145.35047545, 4118834.74815615 3895320.16619741, 4174494.49355279 3895320.16619741, 4174494.49355279 3851145.35047545, 4118834.74815615 3851145.35047545))"
78.0,I-37-112,Yes,,http://maps.vlasenko.net/smtm100/i-37-112.jpg,"POLYGON ((4174494.49355279 3851145.35047545, 4174494.49355279 3895320.16619741, 4230154.23894942 3895320.16619741, 4230154.23894942 3851145.35047545, 4174494.49355279 3851145.35047545))"
79.0,I-37-113,Yes,,http://maps.vlasenko.net/smtm100/i-37-113.jpg,"POLYGON ((4230154.23894942 3851145.35047545, 4230154.23894942 3895320.16619741, 4285813.98434606 3895320.16619741, 4285813.98434606 3851145.35047545, 4230154.23894942 3851145.35047545))"
80.0,I-37-114,Yes,,http://maps.vlasenko.net/smtm100/i-37-114.jpg,"POLYGON ((4285813.98434606 3851145.35047545, 4285813.98434606 3895320.16619741, 4341473.7297427 3895320.16619741, 4341473.7297427 3851145.35047545, 4285813.98434606 3851145.35047545))"
81.0,I-37-115,Yes,,http://maps.vlasenko.net/smtm100/i-37-115.jpg,"POLYGON ((4341473.7297427 3851145.35047545, 4341473.7297427 3895320.16619741, 4397133.47513933 3895320.16619741, 4397133.47513933 3851145.35047545, 4341473.7297427 3851145.35047545))"
82.0,I-37-101,Yes,,http://maps.vlasenko.net/smtm100/i-37-101.jpg,"POLYGON ((4230154.23894942 3895320.16619741, 4230154.23894942 3939629.71932909, 4285813.98434606 3939629.71932909, 4285813.98434606 3895320.16619741, 4230154.23894942 3895320.16619741))"
83.0,I-37-102,Yes,,http://maps.vlasenko.net/smtm100/i-37-102.jpg,"POLYGON ((4285813.98434606 3895320.16619741, 4285813.98434606 3939629.71932909, 4341473.7297427 3939629.71932909, 4341473.7297427 3895320.16619741, 4285813.98434606 3895320.16619741))"
84.0,I-37-90,Yes,,http://maps.vlasenko.net/smtm100/i-37-090.jpg,"POLYGON ((4285813.98434606 3939629.71932909, 4285813.98434606 3984133.56358204, 4341473.7297427 3984133.56358204, 4341473.7297427 3939629.71932909, 4285813.98434606 3939629.71932909))"
